epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1026.78,2.20456,6.27697,1.47675,0,0,0,0,2.04077,6.03808,1.27557,2.24148e-05,2.24148e-05,2.24148e-05
2,2485.11,2.05755,5.5756,1.23197,0.00598,0.04863,0.01114,0.00664,1.99773,5.01072,1.24301,4.35938e-05,4.35938e-05,4.35938e-05
3,4887.83,2.01518,4.58744,1.18799,0.46665,0.02414,0.01779,0.01217,1.96288,4.17392,1.21234,6.32768e-05,6.32768e-05,6.32768e-05
4,6420.4,1.94507,3.99346,1.17457,0.5108,0.02732,0.02381,0.01506,1.88006,3.74248,1.20416,6.1268e-05,6.1268e-05,6.1268e-05
5,9353.94,1.90672,3.54566,1.15366,0.57462,0.01114,0.01063,0.00654,1.79988,3.33217,1.15265,5.9024e-05,5.9024e-05,5.9024e-05
6,11056.5,1.83483,3.40701,1.14148,0.59128,0.03044,0.03198,0.02121,1.74906,3.13511,1.13471,5.678e-05,5.678e-05,5.678e-05
7,12692.1,1.8108,3.23623,1.12941,0.66991,0.02216,0.02131,0.01374,1.71492,2.94558,1.12808,5.4536e-05,5.4536e-05,5.4536e-05
8,15176.5,1.76592,3.01137,1.12245,0.68354,0.02279,0.0245,0.01412,1.71199,2.82218,1.11522,5.2292e-05,5.2292e-05,5.2292e-05
9,17189,1.75823,2.88498,1.11417,0.66464,0.01848,0.02349,0.01562,1.65992,2.66422,1.10595,5.0048e-05,5.0048e-05,5.0048e-05
10,19694,1.72428,2.76594,1.09615,0.67353,0.02416,0.02679,0.01666,1.64162,2.53099,1.0969,4.7804e-05,4.7804e-05,4.7804e-05
11,21838,1.69868,2.64402,1.09884,0.67852,0.01823,0.02498,0.01452,1.63417,2.49492,1.09814,4.556e-05,4.556e-05,4.556e-05
12,24222.5,1.64366,2.58451,1.0848,0.67771,0.0208,0.03071,0.01937,1.61103,2.43227,1.09708,4.3316e-05,4.3316e-05,4.3316e-05
13,28145,1.62811,2.5297,1.08229,0.69811,0.02348,0.03166,0.01903,1.58707,2.34898,1.08378,4.1072e-05,4.1072e-05,4.1072e-05
14,31563,1.62145,2.45017,1.07766,0.62392,0.02932,0.04219,0.02676,1.59545,2.29586,1.08878,3.8828e-05,3.8828e-05,3.8828e-05
15,35555.6,1.64656,2.38896,1.09035,0.70466,0.01556,0.03233,0.01852,1.59751,2.2517,1.08549,3.6584e-05,3.6584e-05,3.6584e-05
16,40288.9,1.60934,2.36546,1.07047,0.54583,0.01034,0.02026,0.01057,1.58082,2.19428,1.08291,3.434e-05,3.434e-05,3.434e-05
17,45564.9,1.60488,2.36402,1.07774,0.58516,0.01245,0.02731,0.01495,1.57904,2.16082,1.0812,3.2096e-05,3.2096e-05,3.2096e-05
18,52218.2,1.56836,2.24909,1.06429,0.57637,0.01177,0.02514,0.01255,1.56396,2.11769,1.0744,2.9852e-05,2.9852e-05,2.9852e-05
19,59653.1,1.57756,2.24421,1.06202,0.57435,0.01706,0.02932,0.01618,1.55052,2.08263,1.07381,2.7608e-05,2.7608e-05,2.7608e-05
20,66141.4,1.58008,2.19,1.0585,0.56977,0.01066,0.02661,0.01406,1.55091,2.06722,1.07203,2.5364e-05,2.5364e-05,2.5364e-05
21,81619,1.60352,2.43525,1.11052,0.59996,0.01058,0.02157,0.01018,1.5977,2.15698,1.09479,2.312e-05,2.312e-05,2.312e-05
22,92336.5,1.53683,2.25695,1.09415,0.60755,0.01212,0.02136,0.01106,1.5733,2.08623,1.08375,2.0876e-05,2.0876e-05,2.0876e-05
23,102233,1.4999,2.2069,1.07634,0.6029,0.01234,0.02354,0.01346,1.55508,2.04074,1.0782,1.8632e-05,1.8632e-05,1.8632e-05
24,112182,1.50519,2.14654,1.08555,0.5844,0.01396,0.02179,0.012,1.54403,2.00957,1.07375,1.6388e-05,1.6388e-05,1.6388e-05
25,124079,1.49397,2.14132,1.07978,0.60119,0.01829,0.02645,0.01402,1.52674,1.98271,1.07099,1.4144e-05,1.4144e-05,1.4144e-05
26,134257,1.4737,2.11643,1.07553,0.59125,0.01832,0.029,0.01479,1.52799,1.97388,1.07247,1.19e-05,1.19e-05,1.19e-05
27,141396,1.46322,2.08709,1.06747,0.57752,0.01651,0.02701,0.01392,1.52776,1.97177,1.06938,9.656e-06,9.656e-06,9.656e-06
28,149590,1.47325,2.11001,1.06952,0.58582,0.014,0.02265,0.01265,1.52205,1.9502,1.06906,7.412e-06,7.412e-06,7.412e-06
29,155205,1.45791,2.04117,1.07094,0.56228,0.01838,0.029,0.01613,1.53055,1.94713,1.06897,5.168e-06,5.168e-06,5.168e-06
30,161927,1.46074,2.03628,1.07641,0.62488,0.01859,0.02759,0.01489,1.52473,1.94003,1.0705,2.924e-06,2.924e-06,2.924e-06
